osmid,name,highway,oneway,reversed,length,ref,geometry,lanes,bridge,maxspeed,junction,access,est_width,tunnel,service
588926954,,track,False,False,117.24700000000001,,"LINESTRING (12.6144451 46.1509023, 12.6144358 46.1509545, 12.6144521 46.1510388, 12.6144488 46.1511342, 12.6144164 46.151233, 12.6144164 46.1513408, 12.6144228 46.1514351, 12.6144682 46.1515295, 12.6145136 46.1516103, 12.614559 46.1517046, 12.614572 46.1518304, 12.6145364 46.1519336)",,,,,,,,
159007479,,track,False,False,1075.516,,"LINESTRING (12.6157889 46.1512098, 12.6159096 46.1512256, 12.616041 46.1512395, 12.6162368 46.1512618, 12.6165426 46.1512971, 12.616674 46.1513083, 12.6168054 46.151299, 12.6169637 46.1512562, 12.6170549 46.1512117, 12.61713 46.1511652, 12.6171997 46.1511522, 12.6172695 46.1511726, 12.6173285 46.1512256, 12.6173928 46.1513501, 12.6175509 46.1515551, 12.6176879 46.1517617, 12.6178649 46.1519493, 12.6179346 46.1520013, 12.6180232 46.1520385, 12.6180902 46.1520552, 12.6181724 46.1520587, 12.6182887 46.1520478, 12.6183885 46.1520161, 12.6185119 46.1519319, 12.6186883 46.1518341, 12.618757 46.151772, 12.6187809 46.1517245, 12.6187711 46.1516744, 12.6187178 46.151613, 12.6186857 46.1515257, 12.6186857 46.1514458, 12.6187063 46.1513579, 12.6187547 46.1512674, 12.6188035 46.1512048, 12.6188466 46.1511745, 12.6188935 46.1511643, 12.6189427 46.1511649, 12.6189887 46.1511777, 12.6190064 46.1511964, 12.6190209 46.1512414, 12.619023 46.1513006, 12.6190176 46.1514038, 12.6190109 46.1515597, 12.6190411 46.1516427, 12.6190853 46.1517262, 12.6191336 46.1518081, 12.61926 46.1520021, 12.6194291 46.1522578, 12.6196319 46.1524534, 12.619695 46.1525627, 12.6197548 46.15269, 12.6197282 46.1528707, 12.6196112 46.1529897, 12.6194826 46.1530625, 12.6194623 46.1531901, 12.619612 46.1533009, 12.6198127 46.1533713, 12.6199997 46.1534206, 12.6202223 46.1534742, 12.6203527 46.1534774, 12.6205146 46.153438, 12.6206986 46.1533419, 12.620755 46.1532964, 12.6208091 46.1532678, 12.6208596 46.153262, 12.6209186 46.1532723, 12.6209642 46.1533113, 12.6210259 46.1533837, 12.6211157 46.15359, 12.6212016 46.1537628, 12.6214601 46.1540935, 12.6216894 46.1543551, 12.6219619 46.1548176, 12.6221566 46.1552445, 12.6221753 46.1554686, 12.6222181 46.1557657, 12.6222597 46.1559134)",,,,,,,,
159007479,,track,False,True,115.815,,"LINESTRING (12.6157889 46.1512098, 12.6156856 46.1511949, 12.6156172 46.1511773, 12.6155408 46.151141, 12.6154607 46.1510929, 12.6152417 46.1509608, 12.6151612 46.1509329, 12.6150915 46.1509209, 12.6150137 46.1509209, 12.6149091 46.1509497, 12.6147915 46.1509649, 12.6146623 46.1509636, 12.6145524 46.1509376, 12.6144451 46.1509023)",,,,,,,,
159007479,,track,False,False,90.09100000000001,,"LINESTRING (12.6227746 46.1564654, 12.6227874 46.1564429, 12.6227713 46.1564118, 12.6227009 46.1563584, 12.6226414 46.1562977, 12.6225843 46.1562023, 12.6225588 46.1560481, 12.6225789 46.1558326, 12.6226092 46.1557014)",,,,,,,,
159007479,,track,False,True,77.25500000000001,,"LINESTRING (12.6227746 46.1564654, 12.6227385 46.1564741, 12.622701 46.1564699, 12.6226553 46.1564439, 12.6225802 46.1563733, 12.6224963 46.1562889, 12.6223908 46.1561578, 12.6223133 46.1560184, 12.6222597 46.1559134)",,,,,,,,
33173599,Via Giovanni Boccaccio,residential,False,False,19.828,,"LINESTRING (12.63412 46.1413279, 12.6339243 46.1414437)",,,,,,,,
77512329,Via Alessandro Manzoni,secondary,False,True,74.105,SP29,"LINESTRING (12.63412 46.1413279, 12.6347621 46.1418241)",2,,,,,,,
33173595,Via Dalmazia,unclassified,False,True,91.291,,"LINESTRING (12.63412 46.1413279, 12.6342503 46.1412603, 12.634263 46.1410666, 12.6342783 46.1405524)",,,,,,,,
77512238,Via Giais,secondary,False,False,230.75599999999997,SP29,"LINESTRING (12.63412 46.1413279, 12.6338375 46.1411048, 12.6329133 46.14029, 12.6323868 46.1397602, 12.6323125 46.1396758)",2,,,,,,,
33173599,Via Giovanni Boccaccio,residential,False,True,19.828,,"LINESTRING (12.6339243 46.1414437, 12.63412 46.1413279)",,,,,,,,
