anno,geometry,accident_count
2018,POINT (664212.3770139971 5104595.407737169),1
2018,POINT (663298.5699422336 5103359.14847389),1
2018,POINT (663095.7177100913 5102683.479418331),1
2018,POINT (663880.1507220792 5105599.115944237),1
2018,POINT (664522.5929612463 5101504.992830048),1
2018,POINT (662560.025580913 5104574.386557313),1
2018,POINT (663806.8761619125 5105711.319289996),1
2018,POINT (663775.6381496293 5104324.639434053),1
2018,POINT (664453.5966951792 5103721.429307931),1
2018,POINT (661344.8949782631 5109046.516665933),1
2018,POINT (664109.5231768007 5104352.408522579),1
2018,POINT (663351.3599021195 5098350.855529453),1
2018,POINT (664209.8409875585 5104599.310322706),1
2018,POINT (663264.3267853761 5107139.895676854),1
2018,POINT (662870.1647681686 5104465.279496887),1
2018,POINT (660978.5962739848 5109911.675515732),1
2018,POINT (663905.9984565238 5103147.631562698),1
2018,POINT (663820.1631369295 5105763.856725105),1
2018,POINT (663808.5859446947 5105711.860206591),1
2018,POINT (666606.8400311202 5103660.058036827),1
2018,POINT (662612.4183366898 5106595.602907806),1
2018,POINT (662010.2433067731 5106869.944256662),1
2018,POINT (664036.4748368339 5104719.958413537),1
2018,POINT (663498.5832338694 5110970.283982427),1
2018,POINT (664398.055334512 5104162.300824192),1
2018,POINT (664268.9070516312 5101864.216653807),1
2018,POINT (663564.9205475042 5103553.713759108),1
2018,POINT (664323.3684418993 5103060.292493699),1
2018,POINT (664869.6903094869 5103294.019972006),1
2018,POINT (664650.3630652901 5103621.275943187),1
2018,POINT (665018.6494718709 5102771.4860456595),1
2018,POINT (663515.294885551 5104410.359907407),1
2018,POINT (663449.4957308397 5110501.551593558),1
2018,POINT (663557.4024938954 5105361.524968034),1
2018,POINT (663188.1997200621 5108235.573289269),1
2018,POINT (663305.2190405559 5103433.086447235),1
2018,POINT (664197.9285765057 5104806.5689713685),1
2018,POINT (663482.3244842524 5111223.466651055),1
2018,POINT (662438.9098236515 5104662.590424014),1
2018,POINT (661627.7266660433 5104893.329166395),1
2018,POINT (664422.8516827371 5103614.21120801),1
2018,POINT (662625.2357056185 5109345.711845927),1
2018,POINT (664468.3345800933 5103746.037519439),1
2018,POINT (662757.6306987802 5109044.595128669),1
2018,POINT (662820.2460821955 5104458.998805074),1
2018,POINT (664872.4076877594 5102937.142059647),1
2018,POINT (664197.5022769363 5104838.491690199),1
2018,POINT (663205.880079901 5102211.485265409),1
2018,POINT (665683.7997185071 5100737.370823485),1
2018,POINT (663792.931666683 5104370.754166657),1
2018,POINT (663554.0326537003 5105375.17808433),1
2018,POINT (662856.3425711757 5110445.85957138),1
2018,POINT (663140.7769808989 5107606.713463671),1
2018,POINT (663214.4943946433 5107308.764370675),1
2018,POINT (663475.0849999547 5106561.969166531),1
2018,POINT (663927.6228852409 5103397.354628534),1
2018,POINT (664452.3798055992 5103722.578592535),1
2018,POINT (663460.6741494456 5100942.428032935),1
2018,POINT (664646.2525202178 5103128.59462325),1
2018,POINT (663211.3462171272 5102199.671615723),1
2018,POINT (663628.5025000484 5101351.947500032),1
2018,POINT (661783.2393971082 5110403.866481912),1
2018,POINT (663364.9691196223 5105418.697835004),1
2018,POINT (665087.2546534241 5098114.987924328),1
2018,POINT (661519.1066182574 5104942.378080912),1
2018,POINT (662424.8251687407 5107473.8135913685),1
2018,POINT (663791.8305930357 5103989.084735906),1
2018,POINT (663683.6853832919 5106051.666033356),1
