osmid,y,x,street_count,highway,ref,geometry,lts,message
9098629581,46.0978118,12.6771942,3,,,POINT (12.6771942 46.0978118),2.0,Node LTS is max intersecting LTS
9098642030,46.095558,12.680671,3,,,POINT (12.680671 46.095558),2.0,Node LTS is max intersecting LTS
9382710350,46.1349963,12.6216767,1,,,POINT (12.6216767 46.1349963),,Node not found in edges
9407403114,46.1587426,12.653506,3,,,POINT (12.653506 46.1587426),,Node not found in edges
9407403115,46.1544725,12.6548304,3,,,POINT (12.6548304 46.1544725),4.0,Node LTS is max intersecting LTS
9407426933,46.1550064,12.6570738,3,,,POINT (12.6570738 46.1550064),4.0,Node LTS is max intersecting LTS
9407426934,46.155508,12.6564585,1,,,POINT (12.6564585 46.155508),,Node not found in edges
9407426935,46.1557515,12.6570272,1,,,POINT (12.6570272 46.1557515),,Node not found in edges
9407426936,46.1553096,12.6575929,3,,,POINT (12.6575929 46.1553096),4.0,Node LTS is max intersecting LTS
9407426937,46.1554818,12.6567629,1,,,POINT (12.6567629 46.1554818),,Node not found in edges
9407426939,46.1554184,12.6574537,3,,,POINT (12.6574537 46.1554184),,Node not found in edges
9407426944,46.1594267,12.6269718,3,,,POINT (12.6269718 46.1594267),,Node not found in edges
9407426948,46.1598005,12.6271735,3,,,POINT (12.6271735 46.1598005),,Node not found in edges
9407426952,46.1518949,12.5962544,3,,,POINT (12.5962544 46.1518949),,Node not found in edges
9407426958,46.1501347,12.5984455,3,,,POINT (12.5984455 46.1501347),,Node not found in edges
9407426962,46.1506301,12.5998662,1,,,POINT (12.5998662 46.1506301),,Node not found in edges
9407426989,46.142408,12.6294093,3,,,POINT (12.6294093 46.142408),2.0,Node LTS is max intersecting LTS
9407426990,46.1422628,12.6292229,3,,,POINT (12.6292229 46.1422628),,Node not found in edges
9407426992,46.1423519,12.6288332,1,,,POINT (12.6288332 46.1423519),,Node not found in edges
9433105929,46.1290215,12.6180619,3,,,POINT (12.6180619 46.1290215),3.0,Node LTS is max intersecting LTS
9433105930,46.1299014,12.6186523,3,,,POINT (12.6186523 46.1299014),3.0,Node LTS is max intersecting LTS
9433105940,46.1285186,12.6229961,3,,,POINT (12.6229961 46.1285186),3.0,Node LTS is max intersecting LTS
9433105941,46.1295175,12.6183947,3,,,POINT (12.6183947 46.1295175),4.0,Node LTS is max intersecting LTS
9433105961,46.1280528,12.6226397,3,,,POINT (12.6226397 46.1280528),3.0,Node LTS is max intersecting LTS
9433105962,46.1275432,12.6222498,3,,,POINT (12.6222498 46.1275432),3.0,Node LTS is max intersecting LTS
9433105977,46.1289151,12.618981,3,,,POINT (12.618981 46.1289151),3.0,Node LTS is max intersecting LTS
9433105978,46.128843,12.6183893,3,,,POINT (12.6183893 46.128843),3.0,Node LTS is max intersecting LTS
9433105984,46.1292183,12.6192813,4,,,POINT (12.6192813 46.1292183),4.0,Node LTS is max intersecting LTS
9433105986,46.12961,12.6195118,4,,,POINT (12.6195118 46.12961),3.0,Node LTS is max intersecting LTS
9433105990,46.1304163,12.619884,3,,,POINT (12.619884 46.1304163),4.0,Node LTS is max intersecting LTS
9433105991,46.1305849,12.6194185,3,,,POINT (12.6194185 46.1305849),4.0,Node LTS is max intersecting LTS
9433106000,46.1328403,12.6133149,1,,,POINT (12.6133149 46.1328403),4.0,Node LTS is max intersecting LTS
9433226033,46.1293803,12.6232629,3,,,POINT (12.6232629 46.1293803),2.0,Node LTS is max intersecting LTS
9433226044,46.1299822,12.621688,3,,,POINT (12.621688 46.1299822),4.0,Node LTS is max intersecting LTS
9433226045,46.1303207,12.6205907,3,,,POINT (12.6205907 46.1303207),4.0,Node LTS is max intersecting LTS
9433226051,46.1313452,12.6187986,1,,,POINT (12.6187986 46.1313452),4.0,Node LTS is max intersecting LTS
9433226078,46.1365635,12.6220785,3,,,POINT (12.6220785 46.1365635),3.0,Node LTS is max intersecting LTS
9433226082,46.1377636,12.6222045,3,,,POINT (12.6222045 46.1377636),4.0,Node LTS is max intersecting LTS
9433226084,46.1347307,12.6223238,4,,,POINT (12.6223238 46.1347307),2.0,Node LTS is max intersecting LTS
9433226085,46.1376312,12.6199807,1,,,POINT (12.6199807 46.1376312),4.0,Node LTS is max intersecting LTS
9799626040,46.1377948,12.6305984,3,,,POINT (12.6305984 46.1377948),,Node not found in edges
9883509409,46.1433738,12.6764086,3,,,POINT (12.6764086 46.1433738),2.0,Node LTS is max intersecting LTS
9883556921,46.1433141,12.6753519,3,,,POINT (12.6753519 46.1433141),4.0,Node LTS is max intersecting LTS
9883556922,46.1435314,12.6765581,3,,,POINT (12.6765581 46.1435314),2.0,Node LTS is max intersecting LTS
9883558926,46.1452672,12.6744595,3,,,POINT (12.6744595 46.1452672),,Node not found in edges
9915202427,46.166528,12.6625921,3,,,POINT (12.6625921 46.166528),,Node not found in edges
9915202494,46.1657793,12.6645355,3,,,POINT (12.6645355 46.1657793),2.0,Node LTS is max intersecting LTS
