osmid,y,x,street_count,highway,geometry,lts,message
7796412008,45.8925647,11.0351051,1,,POINT (11.0351051 45.8925647),3.0,Node LTS is max intersecting LTS
7796412009,45.892566,11.0349587,3,,POINT (11.0349587 45.892566),3.0,Node LTS is max intersecting LTS
7796412011,45.8925238,11.0354852,1,,POINT (11.0354852 45.8925238),1.0,Node LTS is max intersecting LTS
7832277398,45.8678239,11.0141257,1,,POINT (11.0141257 45.8678239),3.0,Node LTS is max intersecting LTS
7893596415,45.8771971,11.0341713,3,,POINT (11.0341713 45.8771971),2.0,Node LTS is max intersecting LTS
7893596418,45.8778868,11.0334254,1,,POINT (11.0334254 45.8778868),,Node not found in edges
7893596419,45.8774006,11.0333595,3,,POINT (11.0333595 45.8774006),2.0,Node LTS is max intersecting LTS
7893596422,45.8774945,11.0338382,4,,POINT (11.0338382 45.8774945),,Node not found in edges
7893596423,45.8774951,11.0339595,1,,POINT (11.0339595 45.8774951),,Node not found in edges
7893596424,45.8776422,11.0331327,3,crossing,POINT (11.0331327 45.8776422),2.0,Node LTS is max intersecting LTS
7893596428,45.8789897,11.0344901,4,crossing,POINT (11.0344901 45.8789897),2.0,Node LTS is max intersecting LTS
7894980140,45.8795565,11.0351002,4,crossing,POINT (11.0351002 45.8795565),2.0,Node LTS is max intersecting LTS
7894980141,45.8805411,11.0362955,4,crossing,POINT (11.0362955 45.8805411),2.0,Node LTS is max intersecting LTS
7894980143,45.8820635,11.0386208,4,crossing,POINT (11.0386208 45.8820635),2.0,Node LTS is max intersecting LTS
7894980179,45.8735938,11.0318782,4,crossing,POINT (11.0318782 45.8735938),2.0,Node LTS is max intersecting LTS
7973550823,45.8442966,11.0103145,3,,POINT (11.0103145 45.8442966),2.0,Node LTS is max intersecting LTS
7973550830,45.845329,11.0096818,3,,POINT (11.0096818 45.845329),1.0,Node LTS is max intersecting LTS
7973550872,45.8489586,11.0029771,3,,POINT (11.0029771 45.8489586),3.0,Node LTS is max intersecting LTS
7996560586,45.8819448,11.021929,3,,POINT (11.021929 45.8819448),2.0,Node LTS is max intersecting LTS
7996560588,45.8818893,11.0212212,1,,POINT (11.0212212 45.8818893),,Node not found in edges
8112530658,45.8885911,11.045367,1,,POINT (11.045367 45.8885911),,Node not found in edges
8137314519,45.8861442,11.0335824,1,,POINT (11.0335824 45.8861442),,Node not found in edges
8151266742,45.8924047,11.0487453,3,,POINT (11.0487453 45.8924047),2.0,Node LTS is max intersecting LTS
8152362783,45.9030197,11.0544874,3,,POINT (11.0544874 45.9030197),,Node not found in edges
8152362795,45.8942993,11.0501355,3,,POINT (11.0501355 45.8942993),2.0,Node LTS is max intersecting LTS
8152362796,45.8946894,11.0493733,1,,POINT (11.0493733 45.8946894),2.0,Node LTS is max intersecting LTS
8163679632,45.8696448,11.0333171,1,,POINT (11.0333171 45.8696448),2.0,Node LTS is max intersecting LTS
8198607083,45.8938846,11.030283,3,,POINT (11.030283 45.8938846),2.0,Node LTS is max intersecting LTS
8198607086,45.8930652,11.0297041,1,,POINT (11.0297041 45.8930652),2.0,Node LTS is max intersecting LTS
