osmid,y,x,street_count,highway,ref,geometry,lts,message
257466558,46.0649527,11.124659,1,,,POINT (11.124659 46.0649527),,Node not found in edges
257467992,46.06624,11.1226907,3,,,POINT (11.1226907 46.06624),1.0,Node LTS is max intersecting LTS
257468002,46.0655279,11.1230558,3,,,POINT (11.1230558 46.0655279),1.0,Node LTS is max intersecting LTS
257470137,46.0653773,11.124885,4,crossing,,POINT (11.124885 46.0653773),,Node not found in edges
257470139,46.0663393,11.1260053,3,,,POINT (11.1260053 46.0663393),4.0,Node LTS is max intersecting LTS
257470155,46.065566,11.1255803,3,,,POINT (11.1255803 46.065566),3.0,Node LTS is max intersecting LTS
257471135,46.0672163,11.1265061,3,,,POINT (11.1265061 46.0672163),4.0,Node LTS is max intersecting LTS
257472254,46.0649023,11.1280954,4,traffic_signals,,POINT (11.1280954 46.0649023),2.0,LTS 3-4 with traffic signals
257473220,46.0660213,11.1272153,3,,,POINT (11.1272153 46.0660213),3.0,Node LTS is max intersecting LTS
257473976,46.0672708,11.127874,3,,,POINT (11.127874 46.0672708),3.0,Node LTS is max intersecting LTS
257476879,46.0668711,11.1210492,3,,,POINT (11.1210492 46.0668711),1.0,Node LTS is max intersecting LTS
257477152,46.0668286,11.1206081,4,,,POINT (11.1206081 46.0668286),1.0,Node LTS is max intersecting LTS
257480570,46.0682565,11.1234891,4,,,POINT (11.1234891 46.0682565),1.0,Node LTS is max intersecting LTS
257480997,46.0673011,11.1232564,4,crossing,,POINT (11.1232564 46.0673011),2.0,Node LTS is max intersecting LTS
257482101,46.0686959,11.1191494,3,,,POINT (11.1191494 46.0686959),2.0,Node LTS is max intersecting LTS
257482107,46.068464,11.1201043,4,,,POINT (11.1201043 46.068464),2.0,Node LTS is max intersecting LTS
257482421,46.0686522,11.1186774,3,,,POINT (11.1186774 46.0686522),3.0,Node LTS is max intersecting LTS
257483039,46.0663678,11.123358,3,,,POINT (11.123358 46.0663678),2.0,Node LTS is max intersecting LTS
257483043,46.0664498,11.1240203,3,,,POINT (11.1240203 46.0664498),2.0,Node LTS is max intersecting LTS
257483045,46.0664914,11.1243614,3,,,POINT (11.1243614 46.0664914),2.0,Node LTS is max intersecting LTS
257483465,46.0665144,11.1224055,3,,,POINT (11.1224055 46.0665144),1.0,Node LTS is max intersecting LTS
257527684,46.066752,11.1223044,3,,,POINT (11.1223044 46.066752),1.0,Node LTS is max intersecting LTS
257846361,46.0653722,11.1231035,4,,,POINT (11.1231035 46.0653722),1.0,Node LTS is max intersecting LTS
257846363,46.0653813,11.1239492,3,,,POINT (11.1239492 46.0653813),,Node not found in edges
257846365,46.0654938,11.1247957,3,,,POINT (11.1247957 46.0654938),,Node not found in edges
257846366,46.0657149,11.1211459,3,,,POINT (11.1211459 46.0657149),2.0,Node LTS is max intersecting LTS
257846460,46.065462,11.1211474,4,,,POINT (11.1211474 46.065462),3.0,Node LTS is max intersecting LTS
