osmid,y,x,street_count,highway,ref,geometry,lts,message
6341550423,44.5283894,11.3628457,4,,,POINT (11.3628457 44.5283894),,Node not found in edges
6341550424,44.5285442,11.3629269,4,,,POINT (11.3629269 44.5285442),,Node not found in edges
6341550425,44.5283577,11.362967,4,,,POINT (11.362967 44.5283577),,Node not found in edges
6341550426,44.5285112,11.3630486,4,,,POINT (11.3630486 44.5285112),,Node not found in edges
6341550427,44.5286899,11.3631436,1,,,POINT (11.3631436 44.5286899),,Node not found in edges
6341550428,44.5281879,11.3628767,1,,,POINT (11.3628767 44.5281879),,Node not found in edges
6341550429,44.5284865,11.3631396,1,,,POINT (11.3631396 44.5284865),,Node not found in edges
6341550430,44.5286053,11.3627021,1,,,POINT (11.3627021 44.5286053),,Node not found in edges
6341550431,44.5283342,11.3630568,1,,,POINT (11.3630568 44.5283342),,Node not found in edges
6341550432,44.5284485,11.3626193,1,,,POINT (11.3626193 44.5284485),,Node not found in edges
6341550433,44.5281043,11.3625715,3,,,POINT (11.3625715 44.5281043),,Node not found in edges
6341550434,44.5279642,11.3631007,1,,,POINT (11.3631007 44.5279642),,Node not found in edges
6341550435,44.528186,11.3622625,1,,,POINT (11.3622625 44.528186),,Node not found in edges
6341550436,44.5291884,11.3633991,3,,,POINT (11.3633991 44.5291884),,Node not found in edges
6341550437,44.5292192,11.3632885,4,,,POINT (11.3632885 44.5292192),,Node not found in edges
6341550438,44.5292476,11.3631853,3,,,POINT (11.3631853 44.5292476),,Node not found in edges
6341550439,44.5293539,11.3635969,1,,,POINT (11.3635969 44.5293539),,Node not found in edges
6341550443,44.5295135,11.3636794,1,,,POINT (11.3636794 44.5295135),,Node not found in edges
6341550448,44.5292124,11.362805,1,,,POINT (11.362805 44.5292124),,Node not found in edges
6341550449,44.5297031,11.363545,3,,,POINT (11.363545 44.5297031),,Node not found in edges
6341550452,44.5288642,11.3630948,4,,,POINT (11.3630948 44.5288642),,Node not found in edges
6341550453,44.5280753,11.3626809,4,,,POINT (11.3626809 44.5280753),,Node not found in edges
6341550455,44.5279833,11.3625173,3,,,POINT (11.3625173 44.5279833),,Node not found in edges
6341550475,44.5256452,11.3621579,1,,,POINT (11.3621579 44.5256452),,Node not found in edges
6344602665,44.501173,11.358752,4,crossing,,POINT (11.358752 44.501173),1.0,Node LTS is max intersecting LTS
6344604581,44.4996147,11.3562689,3,,,POINT (11.3562689 44.4996147),1.0,Node LTS is max intersecting LTS
6344609992,44.4969383,11.3602876,4,,,POINT (11.3602876 44.4969383),1.0,Node LTS is max intersecting LTS
6344610857,44.4904454,11.3671423,4,crossing,,POINT (11.3671423 44.4904454),1.0,Node LTS is max intersecting LTS
6344611317,44.4948347,11.3593321,4,crossing,,POINT (11.3593321 44.4948347),1.0,Node LTS is max intersecting LTS
6344611496,44.4864391,11.3483278,4,,,POINT (11.3483278 44.4864391),1.0,Node LTS is max intersecting LTS
6344639832,44.4853791,11.3482649,4,crossing,,POINT (11.3482649 44.4853791),3.0,Node LTS is max intersecting LTS
6344639833,44.4853971,11.3481123,4,crossing,,POINT (11.3481123 44.4853971),3.0,Node LTS is max intersecting LTS
6344642501,44.4873923,11.3578391,4,traffic_signals,,POINT (11.3578391 44.4873923),2.0,LTS 3-4 with traffic signals
6344642502,44.4861625,11.357899,4,traffic_signals,,POINT (11.357899 44.4861625),2.0,LTS 3-4 with traffic signals
6344644582,44.4905832,11.363954,4,,,POINT (11.363954 44.4905832),1.0,Node LTS is max intersecting LTS
6344646756,44.487624,11.3593623,4,crossing,,POINT (11.3593623 44.487624),1.0,Node LTS is max intersecting LTS
6352037895,44.5075611,11.3544159,1,,,POINT (11.3544159 44.5075611),,Node not found in edges
6352037896,44.507501,11.3547895,3,,,POINT (11.3547895 44.507501),,Node not found in edges
6362702824,44.5089093,11.3635187,1,,,POINT (11.3635187 44.5089093),,Node not found in edges
6362702827,44.5085414,11.3642368,3,,,POINT (11.3642368 44.5085414),,Node not found in edges
6364059129,44.4929386,11.3988628,3,,,POINT (11.3988628 44.4929386),2.0,Node LTS is max intersecting LTS
6364059133,44.4929006,11.3989844,3,,,POINT (11.3989844 44.4929006),2.0,Node LTS is max intersecting LTS
6364059135,44.4915627,11.4026738,3,,,POINT (11.4026738 44.4915627),2.0,Node LTS is max intersecting LTS
6364059144,44.4922186,11.4017043,1,,,POINT (11.4017043 44.4922186),,Node not found in edges
6364105007,44.4971981,11.4138478,3,,,POINT (11.4138478 44.4971981),3.0,Node LTS is max intersecting LTS
6364105011,44.4980812,11.414258,1,,,POINT (11.414258 44.4980812),,Node not found in edges
6364167377,44.4977138,11.3853533,1,,,POINT (11.3853533 44.4977138),,Node not found in edges
6364167379,44.4974342,11.3852175,3,,,POINT (11.3852175 44.4974342),,Node not found in edges
6364167380,44.4975604,11.3847487,1,,,POINT (11.3847487 44.4975604),,Node not found in edges
6364189072,44.5214489,11.2680191,1,,,POINT (11.2680191 44.5214489),,Node not found in edges
6364189073,44.5211993,11.2678562,3,,,POINT (11.2678562 44.5211993),2.0,Node LTS is max intersecting LTS
6364189075,44.5213194,11.2679344,3,,,POINT (11.2679344 44.5213194),,Node not found in edges
6364189077,44.5213823,11.2682203,1,,,POINT (11.2682203 44.5213823),,Node not found in edges
6364366806,44.4910883,11.4173669,3,,,POINT (11.4173669 44.4910883),2.0,Node LTS is max intersecting LTS
6364373687,44.5047891,11.2786364,1,,,POINT (11.2786364 44.5047891),,Node not found in edges
6364406497,44.5157633,11.3251637,3,,,POINT (11.3251637 44.5157633),3.0,Node LTS is max intersecting LTS
