node,coordinates,degree_centrality,closeness_centrality,betweenness_centrality
270730548,"(664512.3657276614, 5103987.874042341)",5,0.00010569517639402597,0.025246506076150515
258509410,"(663286.43897555, 5104574.56200996)",8,9.662069513436707e-05,0.005586152701321165
8493240476,"(663293.8871732356, 5104540.60410705)",4,9.666924890800028e-05,0.0008647986499239781
8500762035,"(663286.6087934461, 5104592.934108221)",4,9.621726735071816e-05,0.0002959236597436916
1448391530,"(663278.746587909, 5104553.321726566)",4,9.664107671900673e-05,0.00572851588973746
8500762069,"(663287.2647176369, 5104576.685315914)",4,9.661296927074963e-05,0.005399879488053156
6966914384,"(663402.8171010135, 5104514.923732398)",4,9.759984387626602e-05,0.0008740677888129546
10185639305,"(663171.5738070764, 5104582.81999998)",6,9.269242899821426e-05,0.00024665289604785124
11067572105,"(664298.0957198418, 5097308.520624315)",4,5.659620661214948e-05,0.00037079954164640644
276105660,"(664140.6352877542, 5097271.23649741)",6,5.567866399865992e-05,0.003857312158351458
1272479066,"(664236.6680413614, 5100060.468476614)",5,7.114241202661158e-05,0.0006531672840171461
258886370,"(663553.6652690541, 5103803.175615509)",2,9.919494211325702e-05,0.0
6753399425,"(663562.4737764025, 5103829.015562443)",4,9.971573578125646e-05,4.9343267348846286e-05
6753399432,"(663594.5784421177, 5103922.852748242)",4,0.00010165423062324222,9.867747174106683e-05
259198651,"(664305.0024519223, 5101879.352175064)",8,9.301951385525058e-05,0.0027158984777749294
1555876764,"(664304.2219604397, 5101874.950672687)",4,9.296736838855484e-05,0.0010551207390645369
1555876780,"(664305.0752517144, 5101885.613797657)",4,9.307723562133798e-05,0.0020211979292811696
3123693660,"(664293.3072809242, 5101880.42972879)",4,9.287746736804074e-05,0.004169182090278141
259198652,"(664333.2817432388, 5101874.725974812)",4,9.26310457865084e-05,0.0016029515439598529
1755263967,"(664308.1432857069, 5101849.860999699)",4,9.256634354276937e-05,0.001019612075004884
428314042,"(664303.855667146, 5101889.539397547)",4,9.311483099738156e-05,0.002045253281905042
260352319,"(662332.8077194192, 5110782.7349860845)",6,5.344985719690601e-05,0.00028567572153913507
2263361227,"(661562.0394915666, 5110197.336883661)",6,5.392290313873866e-05,0.0003249319181635318
9969963814,"(662448.2571449829, 5110647.521190091)",6,5.428564268550956e-05,0.00028705555668540414
1639684558,"(662864.0175346878, 5111102.690967337)",4,5.180819298552417e-05,0.00028558962345119057
2263361118,"(661718.150800826, 5110043.734247964)",4,5.5048215055482474e-05,0.0003093368355497881
10724033634,"(661366.1888062491, 5109986.195327111)",6,5.300262583989976e-05,0.0003261939348736662
260914956,"(663878.0769313562, 5102600.437299866)",8,9.988565651566907e-05,0.008826050939544024
2022158732,"(663883.3577417199, 5102603.857896679)",6,9.980906719550215e-05,0.005481996672299838
5646229483,"(663895.9335779904, 5102579.254303426)",4,9.950611717024563e-05,0.008463849877996291
262315236,"(663868.195387426, 5102610.4919793075)",4,9.999073254215833e-05,0.007486734006609506
1635214895,"(663901.8630762656, 5102636.193995499)",4,0.0001001224196569621,0.005417452560950468
1635214882,"(663900.3368832255, 5102581.328447052)",4,9.940932103704613e-05,0.0006410002647470889
261730424,"(662764.7220572471, 5108823.574870332)",8,6.668168290736597e-05,0.0032288731514876464
6425985241,"(662737.4894589593, 5108883.615279916)",4,6.606858858985965e-05,0.0012315493156978348
6159900039,"(662781.6090450144, 5108799.695394989)",4,6.668831307166909e-05,0.0006634106907433897
1150872295,"(662764.7210632004, 5108809.610093877)",4,6.657409766119477e-05,0.001999075252157736
6425985233,"(662764.518283293, 5108828.928552906)",4,6.67100315627833e-05,0.0025062745567606994
10799596376,"(662732.0539874953, 5108884.47188127)",4,6.602476248449219e-05,0.0012309262374298152
3886477821,"(662798.2835240582, 5108805.418716413)",4,6.703651081563073e-05,0.0006624862691675642
265589779,"(664061.5858855172, 5101934.587187772)",2,1.9364787712933753e-07,0.0
1249809056,"(663993.6831495143, 5101702.303797744)",2,1.9364787712933753e-07,0.0
265589925,"(664552.3948661701, 5101583.540569945)",8,8.949698830672876e-05,0.0012092453794418864
1755263899,"(664579.2244717819, 5101545.754785789)",4,8.932729508584186e-05,0.000778025371710822
1755263906,"(664505.2894494634, 5101640.452977517)",4,8.988589616599659e-05,0.0010198182572681196
265589929,"(664546.6797801366, 5101576.360902906)",6,8.948053598586348e-05,0.00639802141881166
265589907,"(664563.4213803186, 5101711.71986328)",4,9.044083233601879e-05,0.0002094313331859334
1555876674,"(664602.2610978037, 5101539.221702577)",4,8.95074185709588e-05,0.0007951384995593772
5144740506,"(664440.2881709433, 5101718.145958575)",8,9.09009229366336e-05,0.0012019610280539473
265593262,"(664758.6868202958, 5102478.894004111)",4,9.86006008141102e-05,0.000169728785947719
9081725253,"(664825.9874770746, 5102498.452839032)",4,9.840292566946142e-05,0.0001753319588815833
1145605145,"(664690.8684060735, 5102459.8668732)",6,9.954601723098056e-05,0.003551507610146553
10600915514,"(664844.1023361111, 5102504.174972791)",4,9.865399769565028e-05,0.00021031043997863028
1435773595,"(664688.9266316795, 5102466.7639482)",8,9.962395639424882e-05,0.003666611690771775
6753336509,"(664684.8466731606, 5102446.25232614)",4,9.929432158942225e-05,0.0034121646520257863
265658911,"(665206.6826754914, 5101795.354495507)",6,8.710892327274461e-05,0.009905634864280593
6265953454,"(665201.1218244395, 5101665.952474951)",4,8.525280750893831e-05,4.9343267348846286e-05
265658914,"(665225.9514161717, 5101792.769743754)",3,8.682377805413618e-05,0.009778223288557614
2238537161,"(665214.3993228769, 5101876.737962881)",6,8.835082248995137e-05,0.00997946624043219
6265953458,"(665194.9004935279, 5101625.458628061)",2,8.468159713835077e-05,0.0
265658962,"(665206.2955086655, 5103450.849260503)",4,9.640377848710973e-05,0.00047807775922530137
9530307404,"(665204.9500107372, 5103458.584987472)",4,9.646625506233633e-05,0.0004923881677373462
265658956,"(665198.5729519732, 5103438.400317166)",4,9.633681379954675e-05,0.00045004603438188477
1664700447,"(665183.8246044161, 5103479.198439779)",4,9.682765475555553e-05,0.0005175152149822129
265659362,"(664300.2343887992, 5102484.946385918)",6,9.789793902040844e-05,0.0009202005037771321
10294237040,"(664298.520993128, 5102451.712069683)",4,9.792962151273883e-05,0.0005583914151034607
6325886075,"(664309.4535749259, 5102506.39546472)",4,9.803127766295096e-05,0.0005947995776082183
10951471155,"(664285.7631297943, 5102454.362261186)",4,9.737760997711214e-05,0.0006621350795983167
269193746,"(664322.9634495843, 5102486.598526854)",6,9.85743250138782e-05,0.006844059360625811
265753127,"(663366.8694975746, 5107011.834081661)",8,8.190866635235414e-05,0.0036421824911870905
5702029978,"(663364.1195885745, 5107008.203056709)",4,8.18589722027863e-05,0.00018402560002482525
5503459991,"(663394.1542181553, 5107045.436923605)",6,8.148792134315693e-05,0.0007622807503127536
