u,v,key,osmid,lanes,name,highway,maxspeed,geometry,length,rule,lts,group,slope,slope_class,lanes_assumed,maxspeed_assumed,message,short_message
614867969,614867994,0,4.84102e+07,,,track,,"LINESTRING (655908.6184920177 5079456.835940205, 655941.1125268227 5079406.002851173, 655986.3928292972 5079318.204516787, 655990.5471257459 5079288.348127469)",189.245,m15,2,1,,,2.0,50.0,Setting LTS to 2 because highway='track'.,"mixed traffic, highway $=$ ""track"""
614867980,550498110,0,4.84102e+07,,,track,,"LINESTRING (655684.5882978202 5080089.54336706, 655791.5710532971 5080092.843933285, 655802.0589516062 5080091.562360779, 655808.7314846413 5080087.861355634, 655839.6301261707 5080060.467368125, 655866.9173441124 5080037.99654693, 655899.7692252022 5080025.304499755, 655930.4072187942 5080013.235056233, 655942.8456106007 5080007.611488546, 655980.0580412828 5080002.233578746, 655989.2953776157 5080003.733496057)",329.887,m15,2,1,,,2.0,50.0,Setting LTS to 2 because highway='track'.,"mixed traffic, highway $=$ ""track"""
614867980,8441746516,0,1.46623e+08,,['Via Fornaci'],unclassified,,"LINESTRING (655684.5882978202 5080089.54336706, 655602.651642046 5079853.234188196, 655574.3978874679 5079774.982190063, 655556.4873744592 5079703.06000512, 655552.584600005 5079687.3979430655, 655549.7962158041 5079669.429245277, 655534.0513906174 5079568.145411274, 655536.5089451188 5079554.110480833, 655541.6814628171 5079543.023051594, 655552.1413690943 5079528.344082476, 655600.5431499843 5079492.6389868995, 655610.6723429594 5079482.47650644, 655618.1637836696 5079470.624689506, 655621.9259637109 5079457.85655573, 655622.8815957482 5079444.551021466, 655620.7827276227 5079430.990907166, 655616.6167880906 5079418.69071799, 655610.2665143767 5079409.226157281, 655603.8841829649 5079402.584569402, 655597.3465577011 5079397.795662928, 655589.7904077792 5079393.348059854, 655582.5082649754 5079390.3636992145, 655572.452629156 5079387.998988374, 655561.1001408398 5079387.469430453, 655530.4525773174 5079386.833600514)",828.146,m10,3,1,,,2.0,50.0,Setting LTS to 3 because maxspeed is up to 50 km/h and lanes are 3 or less on non-residential highway.,"mixed traffic, speed $\leq$ 50 km/h, highway $\neq$ ""residential"", $\leq$ 3 lanes"
614867980,298030342,0,1.46623e+08,,['Via Fornaci'],unclassified,,"LINESTRING (655684.5882978202 5080089.54336706, 655691.817097004 5080110.380819411, 655697.1291152714 5080145.97826269, 655692.2557789857 5080175.149694557, 655650.7926493742 5080276.808826926, 655646.5534262174 5080313.833862204, 655674.0154152663 5080472.899924881, 655675.4943522855 5080512.959128341, 655662.6649197126 5080545.632694869, 655642.1458320383 5080571.50944504, 655548.7636218902 5080631.03133911, 655534.3719100705 5080639.652700904, 655527.7632905784 5080643.6223858725)",639.43,m10,3,1,,,2.0,50.0,Setting LTS to 3 because maxspeed is up to 50 km/h and lanes are 3 or less on non-residential highway.,"mixed traffic, speed $\leq$ 50 km/h, highway $\neq$ ""residential"", $\leq$ 3 lanes"
614867994,614867969,0,4.84102e+07,,,track,,"LINESTRING (655990.5471257459 5079288.348127469, 655986.3928292972 5079318.204516787, 655941.1125268227 5079406.002851173, 655908.6184920177 5079456.835940205)",189.245,m15,2,1,,,2.0,50.0,Setting LTS to 2 because highway='track'.,"mixed traffic, highway $=$ ""track"""
614868003,614868033,0,4.84102e+07,,,track,,"LINESTRING (656022.1632060516 5079450.49963667, 656028.0708454859 5079459.931273052, 656031.6173196654 5079461.010001182, 656044.9133631173 5079460.555463875, 656050.5583796165 5079458.818796406)",33.982,m15,2,1,,,2.0,50.0,Setting LTS to 2 because highway='track'.,"mixed traffic, highway $=$ ""track"""
614868017,614868027,0,4.84102e+07,,,track,,"LINESTRING (656059.8346685863 5079405.433917101, 656056.5963294227 5079376.692111739)",28.937,m15,2,1,,,2.0,50.0,Setting LTS to 2 because highway='track'.,"mixed traffic, highway $=$ ""track"""
614868017,614868033,0,4.84102e+07,,,track,,"LINESTRING (656059.8346685863 5079405.433917101, 656054.7444790944 5079410.742068272, 656046.2828859624 5079421.901937542, 656042.1305485206 5079429.457162452, 656041.888282337 5079439.078595749, 656043.8862743293 5079448.2783975415, 656050.5583796165 5079458.818796406)",61.479,m15,2,1,,,2.0,50.0,Setting LTS to 2 because highway='track'.,"mixed traffic, highway $=$ ""track"""
614868027,614868017,0,4.84102e+07,,,track,,"LINESTRING (656056.5963294227 5079376.692111739, 656059.8346685863 5079405.433917101)",28.937,m15,2,1,,,2.0,50.0,Setting LTS to 2 because highway='track'.,"mixed traffic, highway $=$ ""track"""
614868028,614073664,0,4.84102e+07,,,track,,"LINESTRING (656085.1081629201 5079484.647128754, 656102.5103539827 5079479.704716326)",18.046,m15,2,1,,,2.0,50.0,Setting LTS to 2 because highway='track'.,"mixed traffic, highway $=$ ""track"""
